,name,link,price,area,valueperm2,Quartos,Suítes,Garagens,Condomínio R$,Cidade,IPTU R$,Total de Andar do Empreendimento,Área Total,Nome do Edifício,Área Terreno,Aceita Permuta,Posição do Sol,Posição do Imóvel,Andar do Apartamento,Unidades no Andar,Aceita Financiamento
67,SCES Trecho 4,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-419615,5.600,"52,00",107,1,1,,,BRASÍLIA - ASA SUL,,,,,,,,,,,
68,QMSW 5 Lote 2 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-qmsw-5-lote-2-bloco-c-454181,1.900,"28,00",67,1,1,2,372,BRASÍLIA - SUDOESTE,,4 Andares,"28,00 m²",,,,,,,,
69,SQN 213 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-213-bloco-h-118021,5.000,"105,00",47,3,2,1,1.150,BRASÍLIA - ASA NORTE,1.517,6 Andares,"160,00 m²",,,,,,,,
70,SQSW 105,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-105-575956,3.900,"92,00",42,3,1,1,948,BRASÍLIA - SUDOESTE,,6 Andares,,,,,,,,,
71,SQNW 108 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-noroeste-brasilia-df-sqnw-108-bloco-h-579637,4.800,"78,00",61,2,1,2,1.120,BRASÍLIA - NOROESTE,,7 Andares,,,,,,,5° Andar,4,
72,SQNW 311 Bloco C Condomínio Atrium Platine,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-c-554135,2.600,"34,00",76,1,,1,,BRASÍLIA - NOROESTE,,,,,,,,,3° Andar,,
73,SQN 213 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-213-bloco-f-169932,5.900,"110,00",53,3,1,2,1.136,BRASÍLIA - ASA NORTE,163,6 Andares,,,,,,,,,
74,SQSW 305 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-305-bloco-a-588187,6.000,"104,30",57,3,1,2,830,BRASÍLIA - SUDOESTE,446,,,,,,Nascente,Frente,5° Andar,,
75,SQN 212 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-212-bloco-g-81832,3.500,"82,00",42,2,1,1,578,BRASÍLIA - ASA NORTE,1.556,6 Andares,"138,00 m²",,,,,,,,
76,SQS 312 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-asa-sul-brasilia-df-sqs-312-bloco-c-592655,10.500,"221,64",47,4,2,1,1.765,BRASÍLIA - ASA SUL,,,"321,22 m²",,,,,,,,
77,SEPS 713/913,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-sul-brasilia-df-seps-713-913-207972,1.600,"26,00",61,1,,1,291,BRASÍLIA - ASA SUL,1.790,,,,,,,,,,
78,SQS 306 Bloco G 1º andar,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-306-bloco-g-595437,5.000,"154,00",32,3,1,,1.346,BRASÍLIA - ASA SUL,2.283,6 Andares,"154,00 m²",,,,Perpendicular,Frente,1° Andar,2,
79,SCES Trecho 4 Brisas do lago,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-sul-brasilia-df-sces-trecho-4-602783,3.000,"40,00",75,1,1,1,,BRASÍLIA - ASA SUL,,,,,,,,,1° Andar,,
80,Condomínio Ilhas do Lago,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-condominio-ilhas-do-lago-130011,8.900,"100,00",89,3,1,3,1.942,BRASÍLIA - ASA NORTE,1.800,,"100,00 m²",,,,,,,,
81,SQSW 305,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-sudoeste-brasilia-df-sqsw-305-396581,9.500,"216,00",43,3,1,2,1.998,BRASÍLIA - SUDOESTE,,6 Andares,"216,00 m²",,,,,,,,
82,SQNW 109 Bloco K,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-109-bloco-k-576970,9.100,"164,00",55,4,4,3,,BRASÍLIA - NOROESTE,,6 Andares,,,,,Nascente,Vazado,3° Andar,,
83,SHN Quadra 5,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-5-156813,2.000,"26,00",76,1,,,1.570,BRASÍLIA - ASA NORTE,,,,,,,,,,,
84,SHTN,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-591977,2.850,"31,00",91,1,1,,486,BRASÍLIA - ASA NORTE,,,,,,,,,,,
85,SQS 114 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-114-bloco-a-570778,9.500,"302,00",31,3,1,1,1.390,BRASÍLIA - ASA SUL,,6 Andares,"302,00 m²",,,,,,,,Sim
86,CCSW 4,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-ccsw-4-132875,1.200,"25,00",48,1,,1,432,BRASÍLIA - SUDOESTE,343,,"25,00 m²",,,,,,,,
87,SQN 403 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-403-bloco-d-579345,4.000,"70,00",57,3,1,,728,BRASÍLIA - ASA NORTE,,,"70,00 m²",,,,,,,,
88,CLSW 104 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-sudoeste-brasilia-df-clsw-104-bloco-b-575231,1.700,"48,00",35,1,,,309,BRASÍLIA - SUDOESTE,,1 Andar,,,,,,,,,
89,SQN 112 Bloco A,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-norte-brasilia-df-sqn-112-bloco-a-592362,4.800,"137,00",35,3,1,1,1.700,BRASÍLIA - ASA NORTE,,6 Andares,,,,,,Vazado,6° Andar,,
90,CA 11,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-norte-brasilia-df-ca-11-268004,1.400,"27,00",51,1,,1,490,BRASÍLIA - LAGO NORTE,60,,"27,00 m²",,,,,,,,
91,SGCV Lote 27,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-park-sul-brasilia-df-sgcv-lote-27-572067,4.990,"70,00",71,2,2,1,1.115,BRASÍLIA - PARK SUL,200,,"70,00 m²",,,,,,,,
92,CLN 201 Bloco B,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-cln-201-bloco-b-383165,1.100,"37,00",29,1,,,471,BRASÍLIA - ASA NORTE,,,"37,00 m²",,,,,,,,
93,SQN 314 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-asa-norte-brasilia-df-sqn-314-bloco-c-515729,3.200,"75,00",42,2,1,1,700,BRASÍLIA - ASA NORTE,255,,,,,,,,1° Andar,,
94,SGCV,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-park-sul-brasilia-df-sgcv-596777,15.000,"211,00",71,3,3,4,2.162,BRASÍLIA - PARK SUL,2.697,2 Andares,"211,00 m²",,,,,,2° Andar,,
