,name,link,price,area,Quartos,Suítes,Garagens,Condomínio R$,Cidade,setor
643,SHN Quadra 2 Bloco F   - Ed. Vision,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shn-quadra-2-bloco-f-204462,3050,28,1.0,1.0,,,BRASÍLIA - ASA NORTE,SHN
644,CCSW 1,https://www.dfimoveis.com.br/imovel/apartamento-2-quartos-aluguel-sudoeste-brasilia-df-ccsw-1-509984,4500,72,2.0,1.0,1.0,632.0,BRASÍLIA - SUDOESTE,CCSW
645,SQS 315 Bloco G,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-asa-sul-brasilia-df-sqs-315-bloco-g-581361,4900,130,3.0,1.0,1.0,963.0,BRASÍLIA - ASA SUL,SQS
646,SCRN 706/707 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-706-707-bloco-h-595292,1100,33,1.0,,,320.0,BRASÍLIA - ASA NORTE,SCRN
647,CA 02,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-02-518093,1100,37,1.0,,,360.0,BRASÍLIA - LAGO NORTE,CA
648,CA 10   - ED. Bellágio,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-10-203381,2300,60,1.0,,1.0,680.0,BRASÍLIA - LAGO NORTE,CA
649,SQNW 310 Bloco H,https://www.dfimoveis.com.br/imovel/apartamento-4-quartos-aluguel-noroeste-brasilia-df-sqnw-310-bloco-h-514002,7500,144,4.0,1.0,3.0,1200.0,BRASÍLIA - NOROESTE,SQNW
650,SQNW 311 Bloco C,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-noroeste-brasilia-df-sqnw-311-bloco-c-515304,1900,33,1.0,,1.0,430.0,BRASÍLIA - NOROESTE,SQNW
651,CA 05,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-lago-norte-brasilia-df-ca-05-446573,2100,52,1.0,1.0,1.0,572.0,BRASÍLIA - LAGO NORTE,CA
652,SCRN 704/705 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-704-705-bloco-d-570786,1200,32,1.0,1.0,,454.0,BRASÍLIA - ASA NORTE,SCRN
653,SHTN Trecho 1,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-1-602047,4140,42,1.0,,1.0,1.06,BRASÍLIA - ASA NORTE,SHTN
654,SMDB Conjunto 12 ÓTIMA LOCALIZAÇÃO!   - Bloco E,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-lago-sul-brasilia-df-smdb-conjunto-12-222375,1000,25,1.0,,,195.0,BRASÍLIA - LAGO SUL,SMDB
655,SHTN Trecho 2 Lote 3,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-shtn-trecho-2-lote-3-559561,2300,30,1.0,1.0,,486.0,BRASÍLIA - ASA NORTE,SHTN
656,SQNW 107 Bloco J,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-noroeste-brasilia-df-sqnw-107-bloco-j-152016,6600,122,3.0,3.0,3.0,1132.0,BRASÍLIA - NOROESTE,SQNW
657,EQRSW 2/3,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-sudoeste-brasilia-df-eqrsw-2-3-603776,1300,29,1.0,,1.0,,BRASÍLIA - SUDOESTE,EQRSW
658,SGAN 911   - GARDEN PARK,https://www.dfimoveis.com.br/imovel/kitnet-1-quarto-aluguel-asa-norte-brasilia-df-sgan-911-140842,1100,27,1.0,1.0,1.0,292.0,BRASÍLIA - ASA NORTE,SGAN
659,SCRN 702/703 Bloco D,https://www.dfimoveis.com.br/imovel/apartamento-1-quarto-aluguel-asa-norte-brasilia-df-scrn-702-703-bloco-d-528733,650,19,1.0,,,300.0,BRASÍLIA - ASA NORTE,SCRN
660,AOS 04 Bloco F,https://www.dfimoveis.com.br/imovel/apartamento-3-quartos-aluguel-octogonal-brasilia-df-aos-04-bloco-f-315493,3270,70,3.0,,1.0,712.0,BRASÍLIA - OCTOGONAL,AOS
